wallet,trade_count,resolved_trades,win_rate,date_start,date_end,city_counts,market_count,event_count,median_entry_price,mean_entry_price,pct_price_lt_15c,pct_price_gt_90c,avg_notional,max_notional,size_gap_corr,median_hold_hours,hold_to_settlement_proxy_rate,dominant_bracket_type,dominant_hour
ColdMath,173813,173527,0.40974027096647786,2025-12-03,2026-04-26,"{""NYC"": 13002, ""LON"": 5640, ""OTHER"": 86552, ""MIA"": 10088, ""DAL"": 13034, ""ATL"": 13391, ""SEA"": 3252, ""CHI"": 10096, ""PAR"": 4612, ""TOK"": 10748, ""LAX"": 1199, ""DEN"": 2199}",6363,2082,0.079,0.4046746845839801,0.5751008267505883,0.34783934458297133,33.482396417193236,22238.329122659998,-0.16501593133763487,9.620555555555555,0.9445655197996847,central,3
Hans323,18917,18872,0.4625370919881306,2025-01-26,2026-04-21,"{""LON"": 10107, ""NYC"": 8246, ""OTHER"": 313, ""MIA"": 20, ""LAX"": 1, ""SEA"": 69, ""DEN"": 2, ""ATL"": 94, ""DAL"": 28, ""PAR"": 30, ""TOK"": 7}",2214,672,0.2,0.43529585965387124,0.46349844055611356,0.312787439868901,155.20888530084198,34965.0,-0.2281203717712584,1.12,0.45686504379008347,central,8
automatedAItradingbot,14705,14582,0.12728020847620353,2025-02-02,2026-04-25,"{""NYC"": 5538, ""LON"": 5575, ""OTHER"": 2887, ""ATL"": 18, ""SEA"": 14, ""CHI"": 29, ""MIA"": 120, ""DAL"": 60, ""PAR"": 131, ""TOK"": 314, ""DEN"": 19}",1885,690,0.013,0.10144314409707678,0.8308738524311459,0.025705542332539952,9.517724693776826,5078.44464,-0.18835857758572672,2.036388888888889,0.5474959612277868,central,10
WeatherTraderBot,6988,6929,0.2986000865925819,2024-11-28,2026-03-24,"{""NYC"": 2784, ""OTHER"": 1462, ""LON"": 2705, ""SEA"": 36, ""DAL"": 1}",930,372,0.06000000177480021,0.23735134097632637,0.6161991986262164,0.06525472238122496,63.11936047767601,14813.22195,-0.15410715868026928,9.609166666666667,0.6956168831168831,central,5
gopfan2,4923,4255,0.509283196239718,2024-10-01,2026-04-21,"{""OTHER"": 4919, ""NYC"": 4}",102,39,0.35000014772750776,0.4247136419152759,0.28783262238472473,0.13812715823684746,294.5281970060939,31808.0,,96.65472222222222,0.45991448423303044,central,8
aenews2,2240,2240,0.6772321428571428,2024-10-01,2026-04-03,"{""OTHER"": 2238, ""CHI"": 2}",111,36,0.974,0.6706264128218831,0.2580357142857143,0.5928571428571429,2301.0041116223215,169828.01909,,95.08305555555556,0.7952522255192879,central,9
Kapii,1897,1897,0.5060622034791776,2024-10-04,2025-12-30,"{""OTHER"": 1897}",53,24,0.44000004354212263,0.48610878786157496,0.23879810226673695,0.24565102793885082,296.8352065292567,54803.44711,,235.3998611111111,0.4023715415019763,central,12
BigMike11,165,165,1.0,2024-09-30,2024-10-17,"{""OTHER"": 165}",2,2,0.982,0.9834238456311484,0.0,1.0,272.9205145030303,9880.0,,13.365277777777777,0.0,central,10
