trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,timing,gate_profile,gap_threshold,dead_zone_enabled,price_band,min_price,max_price,directions,family
1046,428,0.6682600382409177,260,0.6074766355140186,108.91,128.34,0.23900553621155446,-11.669999999999993,0.5455640535372849,0.5850000000000001,0.2854088924156714,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,both,all
911,419,0.6586169045005489,252,0.6014319809069213,91.07,108.36000000000001,0.22980498438113608,-9.319999999999894,0.5396706915477497,0.5800000000000001,0.2537929818943681,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,both,central
135,123,0.7333333333333333,87,0.7073170731707317,17.84,19.98,0.30000569851478215,-9.239999999999998,0.5853333333333333,0.6599999999999999,0.49875774045202165,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,both,wings
35,35,0.9428571428571428,33,0.9428571428571428,10.59,11.2,1.1291244332358743,-0.5199999999999996,0.6228571428571428,0.6799999999999999,0.7464101188717537,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,both,wing_high
100,100,0.66,66,0.66,7.25,8.780000000000003,0.153150113498083,-8.73,0.5722,0.65,0.4120794080051155,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,both,wing_low
376,325,0.43882978723404253,165,0.5076923076923077,38.67999999999999,45.74,0.2045234788375226,-9.469999999999992,0.31718085106382976,0.31,0.46097958144784035,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,YES,all
338,296,0.4349112426035503,147,0.4966216216216216,33.19999999999999,39.65,0.19805291691969584,-6.979999999999983,0.317603550295858,0.32,0.3970503716734765,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,YES,central
38,38,0.47368421052631576,18,0.47368421052631576,5.4799999999999995,6.09,0.2541896558064714,-3.9299999999999993,0.31342105263157893,0.245,1.0296130789145495,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,YES,wings
2,2,1.0,2,1.0,1.52,1.5499999999999998,6.7175144212722,0.0,0.22499999999999998,0.22499999999999998,3.933333333333333,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,YES,wing_high
36,36,0.4444444444444444,16,0.4444444444444444,3.959999999999998,4.539999999999999,0.19536528592827163,-3.93,0.3183333333333333,0.245,0.8682952870023948,CORE,open,current_backtest_gate,5,True,15_85,0.15,0.85,YES,wing_low
