date,ticker,model_name,bracket_type,direction,entry_price,gap_pp,win,net
2025-02-04,KXHIGHNY-25FEB04-T47,GUMBEL,wing_high,NO,0.28,-71.43302634268316,True,0.7
2025-02-11,KXHIGHNY-25FEB11-B36.5,GUMBEL,central,NO,0.54,-44.36855640827701,True,0.43999999999999995
2025-02-11,KXHIGHNY-25FEB11-B34.5,EMOS,central,NO,0.71,-20.18104874482583,False,-0.73
2025-02-11,KXHIGHNY-25FEB11-B36.5,RF_DISTRIBUTION,central,NO,0.54,-21.000000000000004,True,0.43999999999999995
2025-02-18,KXHIGHNY-25FEB18-B27.5,HGBR_QUANTILE,central,NO,0.4,-57.237569060773474,False,-0.42000000000000004
2025-02-25,KXHIGHNY-25FEB25-B56.5,RF_DISTRIBUTION,central,NO,0.71,-21.105263157894733,False,-0.73
2025-02-25,KXHIGHNY-25FEB25-B56.5,HGBR_QUANTILE,central,YES,0.29,23.688172043010752,True,0.69
2025-03-04,KXHIGHNY-25MAR04-B51.5,GUMBEL,central,YES,0.26,46.12536385412579,True,0.72
2025-03-04,KXHIGHNY-25MAR04-B53.5,GUMBEL,central,NO,0.5700000000000001,-32.32205950647073,True,0.4099999999999999
2025-03-04,KXHIGHNY-25MAR04-T54,GUMBEL,wing_high,NO,0.6799999999999999,-31.178640513927654,True,0.30000000000000004
2025-03-04,KXHIGHNY-25MAR04-B51.5,EMOS,central,NO,0.74,-21.939090190086542,False,-0.76
2025-03-04,KXHIGHNY-25MAR04-T54,EMOS,wing_high,YES,0.32,26.47932097363847,False,-0.34
2025-03-04,KXHIGHNY-25MAR04-B51.5,HGBR_QUANTILE,central,NO,0.74,-23.718631178707223,False,-0.76
2025-03-11,KXHIGHNY-25MAR11-B64.5,RF_DISTRIBUTION,central,NO,0.5700000000000001,-28.714285714285715,False,-0.5900000000000001
2025-03-18,KXHIGHNY-25MAR18-B58.5,GUMBEL,central,YES,0.36,40.70441462159064,False,-0.38
2025-03-18,KXHIGHNY-25MAR18-B60.5,GUMBEL,central,NO,0.61,-22.23043530592551,False,-0.63
2025-03-18,KXHIGHNY-25MAR18-B58.5,EMOS,central,NO,0.64,-23.655095518785814,True,0.33999999999999997
2025-03-18,KXHIGHNY-25MAR18-B60.5,EMOS,central,YES,0.39,27.662223532454277,True,0.59
2025-03-18,KXHIGHNY-25MAR18-B58.5,HGBR_QUANTILE,central,NO,0.64,-27.794871794871796,True,0.33999999999999997
2025-03-18,KXHIGHNY-25MAR18-B60.5,HGBR_QUANTILE,central,NO,0.61,-30.7948717948718,False,-0.63
2025-03-25,KXHIGHNY-25MAR25-B57.5,RF_DISTRIBUTION,central,YES,0.48,32.00000000000001,True,0.5
2025-04-01,KXHIGHNY-25APR01-B57.5,GUMBEL,central,NO,0.42000000000000004,-23.441757411989165,False,-0.44000000000000006
2025-04-01,KXHIGHNY-25APR01-B59.5,GUMBEL,central,YES,0.37,21.51945720474012,False,-0.39
2025-04-01,KXHIGHNY-25APR01-B57.5,HGBR_QUANTILE,central,NO,0.42000000000000004,-43.410334346504555,False,-0.44000000000000006
2025-04-01,KXHIGHNY-25APR01-B59.5,HGBR_QUANTILE,central,NO,0.63,-31.52887537993921,True,0.35
2025-04-15,KXHIGHNY-25APR15-B66.5,EMOS,central,NO,0.54,-45.40680319888746,True,0.43999999999999995
2025-04-15,KXHIGHNY-25APR15-B66.5,HGBR_QUANTILE,central,NO,0.54,-43.2972972972973,True,0.43999999999999995
2025-04-22,KXHIGHNY-25APR22-B78.5,GUMBEL,central,YES,0.47,22.34297519212124,False,-0.49
2025-04-22,KXHIGHNY-25APR22-B78.5,EMOS,central,NO,0.53,-31.01149398778863,True,0.44999999999999996
2025-04-22,KXHIGHNY-25APR22-B78.5,HGBR_QUANTILE,central,NO,0.53,-41.782608695652165,True,0.44999999999999996
2025-04-29,KXHIGHNY-25APR29-B78.5,GUMBEL,central,YES,0.25,47.12536385412614,True,0.73
2025-04-29,KXHIGHNY-25APR29-B82.5,GUMBEL,central,NO,0.71,-28.234307408084685,True,0.27
2025-04-29,KXHIGHNY-25APR29-B82.5,EMOS,central,NO,0.71,-27.74584107636261,True,0.27
2025-04-29,KXHIGHNY-25APR29-B82.5,RF_DISTRIBUTION,central,NO,0.71,-26.222222222222218,True,0.27
2025-04-29,KXHIGHNY-25APR29-B82.5,HGBR_QUANTILE,central,NO,0.71,-28.999999999999996,True,0.27
2025-05-06,KXHIGHNY-25MAY06-B64.5,GUMBEL,central,YES,0.44,32.17325936091274,True,0.54
2025-05-06,KXHIGHNY-25MAY06-B66.5,HGBR_QUANTILE,central,NO,0.72,-21.442622950819676,True,0.26
2025-05-20,KXHIGHNY-25MAY20-B66.5,GUMBEL,central,YES,0.49,27.44802520094769,True,0.49
2025-05-20,KXHIGHNY-25MAY20-B68.5,GUMBEL,central,NO,0.64,-21.15150648626598,True,0.33999999999999997
2025-05-20,KXHIGHNY-25MAY20-B66.5,RF_DISTRIBUTION,central,NO,0.51,-41.45283018867924,False,-0.53
2025-05-20,KXHIGHNY-25MAY20-B68.5,RF_DISTRIBUTION,central,YES,0.36,41.358490566037744,False,-0.38
2025-05-20,KXHIGHNY-25MAY20-B66.5,HGBR_QUANTILE,central,NO,0.51,-45.8,False,-0.53
2025-05-27,KXHIGHNY-25MAY27-B75.5,GUMBEL,central,YES,0.46,30.261461025455645,False,-0.48000000000000004
2025-05-27,KXHIGHNY-25MAY27-B73.5,RF_DISTRIBUTION,central,NO,0.54,-33.17948717948718,False,-0.56
2025-05-27,KXHIGHNY-25MAY27-B75.5,RF_DISTRIBUTION,central,NO,0.54,-30.615384615384617,True,0.43999999999999995
2025-05-27,KXHIGHNY-25MAY27-B73.5,HGBR_QUANTILE,central,NO,0.54,-40.52449567723343,False,-0.56
2025-05-27,KXHIGHNY-25MAY27-B75.5,HGBR_QUANTILE,central,NO,0.54,-40.52449567723343,True,0.43999999999999995
2025-06-03,KXHIGHNY-25JUN03-B78.5,EMOS,central,NO,0.6,-30.39871792254896,False,-0.62
2025-06-03,KXHIGHNY-25JUN03-B80.5,EMOS,central,YES,0.3,26.46389591920681,False,-0.32
2025-06-03,KXHIGHNY-25JUN03-B78.5,RF_DISTRIBUTION,central,NO,0.6,-33.75,False,-0.62
2025-06-03,KXHIGHNY-25JUN03-B78.5,HGBR_QUANTILE,central,NO,0.6,-34.411764705882355,False,-0.62
2025-06-03,KXHIGHNY-25JUN03-B80.5,HGBR_QUANTILE,central,NO,0.7,-21.76470588235294,True,0.28
2025-06-10,KXHIGHNY-25JUN10-B75.5,GUMBEL,central,YES,0.31,34.6268751394528,False,-0.33
2025-06-10,KXHIGHNY-25JUN10-B77.5,EMOS,central,NO,0.54,-43.53248236678817,True,0.43999999999999995
2025-06-10,KXHIGHNY-25JUN10-B77.5,RF_DISTRIBUTION,central,NO,0.54,-43.82608695652174,True,0.43999999999999995
2025-06-10,KXHIGHNY-25JUN10-B77.5,HGBR_QUANTILE,central,NO,0.54,-46.0,True,0.43999999999999995
2025-06-17,KXHIGHNY-25JUN17-B71.5,GUMBEL,central,NO,0.7,-27.993933140478262,True,0.28
2025-06-17,KXHIGHNY-25JUN17-B69.5,EMOS,central,NO,0.6599999999999999,-24.93574229465069,True,0.32000000000000006
2025-06-17,KXHIGHNY-25JUN17-B71.5,EMOS,central,NO,0.7,-29.738436426108557,True,0.28
2025-06-17,KXHIGHNY-25JUN17-B69.5,RF_DISTRIBUTION,central,NO,0.6599999999999999,-29.000000000000004,True,0.32000000000000006
2025-06-17,KXHIGHNY-25JUN17-B71.5,RF_DISTRIBUTION,central,NO,0.7,-30.0,True,0.28
2025-06-17,KXHIGHNY-25JUN17-B69.5,HGBR_QUANTILE,central,NO,0.6599999999999999,-26.52577319587629,True,0.32000000000000006
2025-06-17,KXHIGHNY-25JUN17-B71.5,HGBR_QUANTILE,central,NO,0.7,-28.96907216494845,True,0.28
2025-06-24,KXHIGHNY-25JUN24-B98.5,GUMBEL,central,NO,0.6599999999999999,-33.620929637059625,False,-0.6799999999999999
2025-06-24,KXHIGHNY-25JUN24-B100.5,RF_DISTRIBUTION,central,NO,0.49,-51.0,True,0.49
2025-06-24,KXHIGHNY-25JUN24-B98.5,RF_DISTRIBUTION,central,NO,0.6599999999999999,-34.0,False,-0.6799999999999999
2025-06-24,KXHIGHNY-25JUN24-B100.5,HGBR_QUANTILE,central,NO,0.49,-51.0,True,0.49
