trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,target,stop_diff,path_available_trades,path_available_rate,exit_counts
460,323,0.3282608695652174,90,0.2786377708978328,-37.830000000000005,-22.210000000000004,-0.31426807817331726,-41.47000000000001,0.5183043478260869,0.53,-0.1673290131127528,CORE_BECKER_PRINT_REPLAY,0.6,0.1,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 136, ""TARGET"": 199}"
460,323,0.3760869565217391,102,0.3157894736842105,-36.74000000000001,-21.17,-0.2969732722051779,-40.370000000000005,0.5183043478260869,0.53,-0.16281175096450343,CORE_BECKER_PRINT_REPLAY,0.6,0.15,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 109, ""TARGET"": 226}"
460,323,0.4217391304347826,115,0.3560371517027864,-33.06,-17.540000000000006,-0.2596243772862887,-37.480000000000004,0.5183043478260869,0.53,-0.14217841718654028,CORE_BECKER_PRINT_REPLAY,0.6,0.2,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 86, ""TARGET"": 249}"
460,323,0.4673913043478261,129,0.3993808049535604,-26.52000000000001,-11.060000000000006,-0.20331950671666474,-30.939999999999987,0.5183043478260869,0.53,-0.09813042204599794,CORE_BECKER_PRINT_REPLAY,0.6,0.25,335,0.7282608695652174,"{""SETTLEMENT"": 130, ""STOP"": 60, ""TARGET"": 270}"
460,323,0.5130434782608696,147,0.4551083591331269,-20.52000000000001,-5.420000000000007,-0.15377344211293845,-25.680000000000003,0.5183043478260869,0.53,-0.06678966341958537,CORE_BECKER_PRINT_REPLAY,0.6,none,335,0.7282608695652174,"{""SETTLEMENT"": 165, ""TARGET"": 295}"
460,323,0.3652173913043478,101,0.3126934984520124,-31.33,-15.719999999999995,-0.25575710574029187,-35.62000000000001,0.5183043478260869,0.53,-0.14518053814703322,CORE_BECKER_PRINT_REPLAY,0.65,0.1,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 150, ""TARGET"": 185}"
460,323,0.42391304347826086,121,0.3746130030959752,-29.14,-13.589999999999993,-0.22965559824550227,-33.359999999999985,0.5183043478260869,0.53,-0.13567236214505657,CORE_BECKER_PRINT_REPLAY,0.65,0.15,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 120, ""TARGET"": 215}"
460,323,0.4652173913043478,134,0.4148606811145511,-26.099999999999998,-10.609999999999994,-0.19869378173445898,-31.369999999999994,0.5183043478260869,0.53,-0.11744377210336672,CORE_BECKER_PRINT_REPLAY,0.65,0.2,335,0.7282608695652174,"{""SETTLEMENT"": 125, ""STOP"": 101, ""TARGET"": 234}"
460,323,0.5173913043478261,153,0.47368421052631576,-17.549999999999997,-2.109999999999993,-0.12970620833334764,-22.919999999999984,0.5183043478260869,0.53,-0.06072074904752112,CORE_BECKER_PRINT_REPLAY,0.65,0.25,335,0.7282608695652174,"{""SETTLEMENT"": 130, ""STOP"": 71, ""TARGET"": 259}"
460,323,0.5804347826086956,174,0.5386996904024768,-9.549999999999997,5.430000000000007,-0.06848790259257602,-17.329999999999995,0.5183043478260869,0.53,-0.020048082949120076,CORE_BECKER_PRINT_REPLAY,0.65,none,335,0.7282608695652174,"{""SETTLEMENT"": 171, ""TARGET"": 289}"
