trades,trading_days,win_rate,profitable_days,profitable_day_rate,net_pnl,gross_pnl,sharpe,max_drawdown,avg_entry_price,median_entry_price,avg_return,strategy,target,stop_diff,exit_counts
460,323,0.3869565217391304,112,0.34674922600619196,-28.540000000000013,-12.060000000000008,-0.23542485990403467,-34.3,0.5183043478260869,0.53,-0.12375104461601547,CORE_CHECKPOINT_EXIT,0.7,0.1,"{""SETTLEMENT"": 71, ""STOP_11AM"": 61, ""STOP_1PM"": 78, ""STOP_3PM"": 52, ""TARGET_11AM"": 95, ""TARGET_1PM"": 51, ""TARGET_3PM"": 52}"
460,323,0.4391304347826087,125,0.38699690402476783,-27.890000000000008,-11.890000000000004,-0.2059577740408608,-34.34,0.5183043478260869,0.53,-0.11198454422154272,CORE_CHECKPOINT_EXIT,0.7,0.15,"{""SETTLEMENT"": 91, ""STOP_11AM"": 28, ""STOP_1PM"": 68, ""STOP_3PM"": 56, ""TARGET_11AM"": 95, ""TARGET_1PM"": 57, ""TARGET_3PM"": 65}"
460,323,0.4717391304347826,136,0.42105263157894735,-25.23000000000001,-9.710000000000008,-0.1736938214893858,-32.56,0.5183043478260869,0.53,-0.09851956972976145,CORE_CHECKPOINT_EXIT,0.7,0.2,"{""SETTLEMENT"": 112, ""STOP_11AM"": 15, ""STOP_1PM"": 45, ""STOP_3PM"": 66, ""TARGET_11AM"": 95, ""TARGET_1PM"": 58, ""TARGET_3PM"": 69}"
460,323,0.5,144,0.4458204334365325,-20.850000000000016,-5.86000000000001,-0.13598832559539986,-28.180000000000003,0.5183043478260869,0.53,-0.07638064446927827,CORE_CHECKPOINT_EXIT,0.7,0.25,"{""SETTLEMENT"": 139, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 62, ""TARGET_11AM"": 95, ""TARGET_1PM"": 58, ""TARGET_3PM"": 71}"
460,323,0.5347826086956522,156,0.48297213622291024,-17.54000000000002,-3.7200000000000095,-0.10709216105397756,-27.20000000000001,0.5183043478260869,0.53,-0.0629722765902413,CORE_CHECKPOINT_EXIT,0.7,none,"{""SETTLEMENT"": 229, ""TARGET_11AM"": 95, ""TARGET_1PM"": 59, ""TARGET_3PM"": 77}"
460,323,0.44565217391304346,130,0.4024767801857585,-25.700000000000003,-9.51,-0.19625879310180633,-33.09999999999999,0.5183043478260869,0.53,-0.1184363961465589,CORE_CHECKPOINT_EXIT,0.75,0.1,"{""SETTLEMENT"": 84, ""STOP_11AM"": 61, ""STOP_1PM"": 80, ""STOP_3PM"": 58, ""TARGET_11AM"": 64, ""TARGET_1PM"": 52, ""TARGET_3PM"": 61}"
460,323,0.5,145,0.44891640866873067,-24.53,-8.89,-0.16755444701830638,-32.66999999999999,0.5183043478260869,0.53,-0.10347376147639067,CORE_CHECKPOINT_EXIT,0.75,0.15,"{""SETTLEMENT"": 107, ""STOP_11AM"": 28, ""STOP_1PM"": 69, ""STOP_3PM"": 62, ""TARGET_11AM"": 64, ""TARGET_1PM"": 56, ""TARGET_3PM"": 74}"
460,323,0.5304347826086957,156,0.48297213622291024,-22.280000000000005,-7.1800000000000015,-0.14189599507074865,-31.809999999999977,0.5183043478260869,0.53,-0.09054643255474469,CORE_CHECKPOINT_EXIT,0.75,0.2,"{""SETTLEMENT"": 130, ""STOP_11AM"": 15, ""STOP_1PM"": 45, ""STOP_3PM"": 74, ""TARGET_11AM"": 64, ""TARGET_1PM"": 56, ""TARGET_3PM"": 76}"
460,323,0.5608695652173913,163,0.5046439628482973,-16.940000000000005,-2.410000000000003,-0.10275958636610924,-26.37999999999999,0.5183043478260869,0.53,-0.06489950989240223,CORE_CHECKPOINT_EXIT,0.75,0.25,"{""SETTLEMENT"": 159, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 69, ""TARGET_11AM"": 64, ""TARGET_1PM"": 56, ""TARGET_3PM"": 77}"
460,323,0.5978260869565217,175,0.541795665634675,-13.700000000000005,-0.41999999999999993,-0.07818478627993627,-25.46999999999999,0.5183043478260869,0.53,-0.05175624095033521,CORE_CHECKPOINT_EXIT,0.75,none,"{""SETTLEMENT"": 256, ""TARGET_11AM"": 64, ""TARGET_1PM"": 56, ""TARGET_3PM"": 84}"
460,323,0.45,134,0.4148606811145511,-22.289999999999996,-6.4199999999999875,-0.15603127113551404,-30.51999999999999,0.5183043478260869,0.53,-0.1031625027772392,CORE_CHECKPOINT_EXIT,0.8,0.1,"{""SETTLEMENT"": 99, ""STOP_11AM"": 61, ""STOP_1PM"": 82, ""STOP_3PM"": 62, ""TARGET_11AM"": 38, ""TARGET_1PM"": 51, ""TARGET_3PM"": 67}"
460,323,0.5065217391304347,151,0.4674922600619195,-19.289999999999992,-4.0499999999999865,-0.12166516882017948,-28.479999999999997,0.5183043478260869,0.53,-0.08099519975874445,CORE_CHECKPOINT_EXIT,0.8,0.15,"{""SETTLEMENT"": 126, ""STOP_11AM"": 28, ""STOP_1PM"": 69, ""STOP_3PM"": 67, ""TARGET_11AM"": 38, ""TARGET_1PM"": 54, ""TARGET_3PM"": 78}"
460,323,0.5369565217391304,162,0.5015479876160991,-17.649999999999995,-3.0099999999999896,-0.10404419422064261,-28.459999999999994,0.5183043478260869,0.53,-0.06975104148086694,CORE_CHECKPOINT_EXIT,0.8,0.2,"{""SETTLEMENT"": 152, ""STOP_11AM"": 15, ""STOP_1PM"": 45, ""STOP_3PM"": 77, ""TARGET_11AM"": 38, ""TARGET_1PM"": 54, ""TARGET_3PM"": 79}"
460,323,0.5673913043478261,169,0.5232198142414861,-12.259999999999996,1.8100000000000103,-0.0693467183350901,-23.069999999999993,0.5183043478260869,0.53,-0.043931586037296015,CORE_CHECKPOINT_EXIT,0.8,0.25,"{""SETTLEMENT"": 181, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 72, ""TARGET_11AM"": 38, ""TARGET_1PM"": 54, ""TARGET_3PM"": 80}"
460,323,0.6065217391304348,181,0.5603715170278638,-7.999999999999999,4.780000000000005,-0.0428795720239995,-21.499999999999986,0.5183043478260869,0.53,-0.027434301892951592,CORE_CHECKPOINT_EXIT,0.8,none,"{""SETTLEMENT"": 281, ""TARGET_11AM"": 38, ""TARGET_1PM"": 54, ""TARGET_3PM"": 87}"
460,323,0.41739130434782606,148,0.4582043343653251,-1.3299999999999996,11.510000000000002,-0.007652705759541788,-17.02,0.5183043478260869,0.53,-0.023747521280415455,CORE_CHECKPOINT_EXIT,none,0.1,"{""SETTLEMENT"": 249, ""STOP_11AM"": 61, ""STOP_1PM"": 83, ""STOP_3PM"": 67}"
460,323,0.4717391304347826,155,0.47987616099071206,3.749999999999998,15.68,0.01985613886035436,-17.380000000000003,0.5183043478260869,0.53,0.006493317410200557,CORE_CHECKPOINT_EXIT,none,0.15,"{""SETTLEMENT"": 290, ""STOP_11AM"": 28, ""STOP_1PM"": 70, ""STOP_3PM"": 72}"
460,323,0.5043478260869565,157,0.48606811145510836,5.569999999999995,16.84,0.027985442178929832,-18.060000000000002,0.5183043478260869,0.53,0.0194984602751496,CORE_CHECKPOINT_EXIT,none,0.2,"{""SETTLEMENT"": 319, ""STOP_11AM"": 15, ""STOP_1PM"": 45, ""STOP_3PM"": 81}"
460,323,0.5347826086956522,163,0.5046439628482973,11.179999999999998,21.86,0.05462775126533316,-16.120000000000005,0.5183043478260869,0.53,0.04607705995612563,CORE_CHECKPOINT_EXIT,none,0.25,"{""SETTLEMENT"": 349, ""STOP_11AM"": 10, ""STOP_1PM"": 25, ""STOP_3PM"": 76}"
460,323,0.5760869565217391,171,0.5294117647058824,17.37999999999999,26.58,0.08138412192841706,-17.04000000000001,0.5183043478260869,0.53,0.06922821269349648,CORE_CHECKPOINT_EXIT,none,none,"{""SETTLEMENT"": 460}"
