date,ticker,bracket,bracket_type,sleeve,gap_pp,direction,entry_price,entry_timing,confidence,model_prob,kalshi_result_yes,reconstructed_result_yes,settlement_mismatch,consensus,model_weight_source,weight_gfs,weight_ecmwf,weight_ukmo,weight_nbm,physics_mean,physics_spread,ai_mean,ai_spread,win,gross,fee,net,actual_temp,settlement_temp,month,month_num,quarter,is_current_tradeable,gap_abs,spread_between,actual_minus_consensus,entry_bucket,gap_bucket,prob_bucket,model_error_bucket,loss_mode
2024-10-16,HIGHNY-24OCT16-B57.5,57-58F,central,CORE,22.929760250718633,YES,0.53,9AM,37.24,0.7592976025071864,False,False,False,57.88,fixed_weights,0.25,0.35,0.2,0.2,58.8,0.0,56.5,0.6000000000000014,False,-0.53,0.02,-0.55,59.0,59.0,2024-10,10,2024Q4,True,22.929760250718633,2.299999999999997,1.1199999999999974,45-55c,20-25,75-100%,+1:+3F,YES_loss_near_model_or_adjacent
2024-11-29,KXHIGHNY-24NOV29-B44.5,44-45F,central,CORE,20.793221028806062,YES,0.5,9AM,54.72,0.7079322102880606,False,False,False,45.14,fixed_weights,0.25,0.35,0.2,0.2,45.3,0.1999999999999993,44.95,0.1500000000000021,False,-0.5,0.02,-0.52,47.0,47.0,2024-11,11,2024Q4,True,20.793221028806062,0.3499999999999943,1.8599999999999994,45-55c,20-25,50-75%,+1:+3F,YES_loss_near_model_or_adjacent
2024-12-04,KXHIGHNY-24DEC04-B39.5,39-40F,central,CORE,31.587261511888947,YES,0.45,9AM,62.12,0.7658726151188895,False,False,False,39.795,fixed_weights,0.25,0.35,0.2,0.2,39.55,0.75,40.35,0.3500000000000014,False,-0.45,0.02,-0.47,42.0,42.0,2024-12,12,2024Q4,True,31.587261511888947,0.8000000000000043,2.2049999999999983,35-45c,30-35,75-100%,+1:+3F,YES_loss_actual_hotter_than_model
2024-12-04,KXHIGHNY-24DEC04-B41.5,41-42F,central,CORE,-32.40293517294428,NO,0.5,9AM,63.2,0.1759706482705572,True,True,False,39.795,fixed_weights,0.25,0.35,0.2,0.2,39.55,0.75,40.35,0.3500000000000014,False,-0.5,0.02,-0.52,42.0,42.0,2024-12,12,2024Q4,True,32.40293517294428,0.8000000000000043,2.2049999999999983,45-55c,30-35,10-25%,+1:+3F,NO_loss_actual_hotter_than_model
2024-12-05,KXHIGHNY-24DEC05-B38.5,38-39F,central,CORE,21.25376185341074,YES,0.45,9AM,51.01,0.6625376185341074,False,False,False,39.285,fixed_weights,0.25,0.35,0.2,0.2,39.55,1.4499999999999993,39.25,0.3500000000000014,False,-0.45,0.02,-0.47,40.0,40.0,2024-12,12,2024Q4,True,21.25376185341074,0.29999999999999716,0.7150000000000034,35-45c,20-25,50-75%,-1:+1F,YES_loss_near_model_or_adjacent
2024-12-09,KXHIGHNY-24DEC09-B50.5,50-51F,central,CORE,-23.671699982297756,NO,0.53,9AM,36.23,0.2332830001770224,True,True,False,49.035,fixed_weights,0.25,0.35,0.2,0.2,49.849999999999994,0.0500000000000007,47.8,1.900000000000002,False,-0.53,0.02,-0.55,51.0,51.0,2024-12,12,2024Q4,True,23.671699982297756,2.049999999999997,1.9650000000000034,45-55c,20-25,10-25%,+1:+3F,NO_loss_bracket_hit
2024-12-14,KXHIGHNY-24DEC14-B34.5,34-35F,central,CORE,-32.766228887371355,NO,0.39,9AM,80.35,0.2823377111262865,True,True,False,33.205,fixed_weights,0.25,0.35,0.2,0.2,33.349999999999994,1.0500000000000007,33.25,0.1499999999999985,False,-0.39,0.02,-0.41,34.0,34.0,2024-12,12,2024Q4,True,32.766228887371355,0.09999999999999432,0.7950000000000017,35-45c,30-35,25-50%,-1:+1F,NO_loss_bracket_hit
2024-12-15,KXHIGHNY-24DEC15-B41.5,41-42F,central,DEEP_TAIL_NO,-36.95072548624503,NO,0.64,9AM,71.27,0.0104927451375497,True,True,False,37.625,fixed_weights,0.25,0.35,0.2,0.2,37.05,0.6500000000000021,38.650000000000006,0.4499999999999993,False,-0.64,0.02,-0.66,41.0,41.0,2024-12,12,2024Q4,True,36.95072548624503,1.6000000000000085,3.375,55-65c,35-40,1-2%,+3:+5F,NO_loss_actual_hotter_than_model
2024-12-16,KXHIGHNY-24DEC16-B49.5,49-50F,central,CORE,23.57987514535856,YES,0.3,9AM,69.77,0.5357987514535856,False,False,False,48.875,fixed_weights,0.25,0.35,0.2,0.2,48.95,0.3499999999999978,48.85,0.3500000000000014,False,-0.3,0.02,-0.32,52.0,52.0,2024-12,12,2024Q4,True,23.57987514535856,0.10000000000000142,3.125,25-35c,20-25,50-75%,+3:+5F,YES_loss_actual_hotter_than_model
2024-12-16,KXHIGHNY-24DEC16-B51.5,51-52F,central,CORE,-40.49125909786672,NO,0.54,9AM,81.67,0.0550874090213328,True,True,False,48.875,fixed_weights,0.25,0.35,0.2,0.2,48.95,0.3499999999999978,48.85,0.3500000000000014,False,-0.54,0.02,-0.56,52.0,52.0,2024-12,12,2024Q4,True,40.49125909786672,0.10000000000000142,3.125,45-55c,40-50,5-10%,+3:+5F,NO_loss_actual_hotter_than_model
