date,ticker,bracket,bracket_type,sleeve,gap_pp,direction,entry_price,entry_timing,confidence,model_prob,kalshi_result_yes,reconstructed_result_yes,settlement_mismatch,consensus,model_weight_source,weight_gfs,weight_ecmwf,weight_ukmo,weight_nbm,physics_mean,physics_spread,ai_mean,ai_spread,win,gross,fee,net,actual_temp,settlement_temp,month,bracket_family,raw_edge_pp,est_execution_cost_pp,est_net_edge_pp,required_net_edge_pp,seasonal_mult,regime,regime_mult,size_mult,maker_fee,maker_net,stress_0c_entry,stress_0c_fee,stress_0c_net,stress_0c_sized_net,stress_1c_entry,stress_1c_fee,stress_1c_net,stress_1c_sized_net,stress_3c_entry,stress_3c_fee,stress_3c_net,stress_3c_sized_net,stress_5c_entry,stress_5c_fee,stress_5c_net,stress_5c_sized_net,policy
2024-10-07,HIGHNY-24OCT07-B68.5,68-69F,central,DEEP_TAIL_NO,-8.999999902230645,NO,0.93,9AM,12.17,9.77693557177312e-10,False,False,False,72.2,fixed_weights,0.25,0.35,0.2,0.2,75.1,0.8000000000000043,68.05,4.549999999999997,True,0.0699999999999999,0.01,0.0599999999999999,75.0,75.0,2024-10,central,8.999999902230645,3.5,5.499999902230645,4.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.05999999999999995,0.93,0.01,0.05999999999999995,0.06899999999999994,0.9400000000000001,0.01,0.03999999999999994,0.04599999999999992,0.9600000000000001,0.01,-7.632783294297951e-17,-8.777700788442643e-17,0.9800000000000001,0.01,-0.0400000000000001,-0.04600000000000011,current_strategy
2024-10-07,HIGHNY-24OCT07-T75,>75F,wing_high,DEEP_TAIL_NO,-11.36360041694232,NO,0.9,9AM,18.98,0.0063639958305767,False,False,False,72.2,fixed_weights,0.25,0.35,0.2,0.2,75.1,0.8000000000000043,68.05,4.549999999999997,True,0.0999999999999999,0.01,0.0899999999999999,75.0,75.0,2024-10,upper_tail,11.36360041694232,6.0,5.363600416942321,4.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.08999999999999998,0.9,0.01,0.08999999999999998,0.10349999999999997,0.91,0.01,0.06999999999999998,0.08049999999999997,0.93,0.01,0.02999999999999995,0.03449999999999994,0.9500000000000001,0.01,-0.010000000000000071,-0.011500000000000081,current_strategy
2024-10-08,HIGHNY-24OCT08-B70.5,70-71F,central,CORE,-30.173326029329473,NO,0.61,9AM,68.23,0.0882667397067053,False,False,False,68.24000000000001,fixed_weights,0.25,0.35,0.2,0.2,68.7,0.0,67.55000000000001,0.6499999999999986,True,0.39,0.02,0.37,68.0,68.0,2024-10,central,30.173326029329473,3.5,26.673326029329473,8.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.38,0.61,0.01,0.38,0.43699999999999994,0.62,0.01,0.36,0.414,0.64,0.01,0.31999999999999995,0.36799999999999994,0.66,0.01,0.27999999999999997,0.32199999999999995,current_strategy
2024-10-09,HIGHNY-24OCT09-B65.5,65-66F,central,CORE,-23.250867787922857,NO,0.65,9AM,50.33,0.1174913221207714,False,False,False,67.515,fixed_weights,0.25,0.35,0.2,0.2,68.35,0.3500000000000014,66.35,0.3500000000000014,True,0.35,0.02,0.3299999999999999,68.0,68.0,2024-10,central,23.250867787922857,3.5,19.750867787922857,8.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.33999999999999997,0.65,0.01,0.33999999999999997,0.39099999999999996,0.66,0.01,0.31999999999999995,0.36799999999999994,0.68,0.01,0.2799999999999999,0.3219999999999999,0.7000000000000001,0.01,0.23999999999999994,0.2759999999999999,current_strategy
2024-10-09,HIGHNY-24OCT09-B67.5,67-68F,central,CORE,21.789935786107904,YES,0.53,9AM,38.39,0.7478993578610791,True,True,False,67.515,fixed_weights,0.25,0.35,0.2,0.2,68.35,0.3500000000000014,66.35,0.3500000000000014,True,0.47,0.02,0.4499999999999999,68.0,68.0,2024-10,central,21.789935786107904,3.5,18.289935786107904,8.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.45999999999999996,0.53,0.01,0.45999999999999996,0.5289999999999999,0.54,0.01,0.43999999999999995,0.5059999999999999,0.56,0.01,0.3999999999999999,0.45999999999999985,0.5800000000000001,0.01,0.35999999999999993,0.41399999999999987,current_strategy
2024-10-10,HIGHNY-24OCT10-B59.5,59-60F,central,CORE,-25.68976701326652,NO,0.7,9AM,53.59,0.0431023298673347,False,False,False,61.8,fixed_weights,0.25,0.35,0.2,0.2,62.6,0.0,60.599999999999994,0.6999999999999993,True,0.3,0.02,0.28,62.0,62.0,2024-10,central,25.68976701326652,3.5,22.18976701326652,8.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.29000000000000004,0.7,0.01,0.29000000000000004,0.3335,0.71,0.01,0.27,0.3105,0.73,0.01,0.23,0.2645,0.75,0.01,0.19,0.21849999999999997,current_strategy
2024-10-10,HIGHNY-24OCT10-B61.5,61-62F,central,CORE,29.563865469439243,YES,0.47,9AM,48.75,0.7656386546943924,True,True,False,61.8,fixed_weights,0.25,0.35,0.2,0.2,62.6,0.0,60.599999999999994,0.6999999999999993,True,0.53,0.02,0.51,62.0,62.0,2024-10,central,29.563865469439243,3.5,26.063865469439243,8.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.52,0.47,0.01,0.52,0.598,0.48,0.01,0.5,0.575,0.5,0.01,0.45999999999999996,0.5289999999999999,0.52,0.01,0.42,0.48299999999999993,current_strategy
2024-10-11,HIGHNY-24OCT11-B68.5,68-69F,central,CORE,26.674503584787267,YES,0.5,9AM,41.57,0.7667450358478727,True,True,False,68.705,fixed_weights,0.25,0.35,0.2,0.2,69.65,0.0500000000000042,67.30000000000001,0.6000000000000014,True,0.5,0.02,0.48,68.0,68.0,2024-10,central,26.674503584787267,3.5,23.174503584787267,8.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.49,0.5,0.01,0.49,0.5635,0.51,0.01,0.47,0.5405,0.53,0.01,0.42999999999999994,0.4944999999999999,0.55,0.01,0.38999999999999996,0.4484999999999999,current_strategy
2024-10-12,HIGHNY-24OCT12-B71.5,71-72F,central,CORE,-28.468365940838215,NO,0.64,9AM,53.29,0.0753163405916178,False,False,False,73.655,fixed_weights,0.25,0.35,0.2,0.2,74.65,0.3500000000000014,72.25,0.3499999999999943,True,0.36,0.02,0.3399999999999999,74.0,74.0,2024-10,central,28.468365940838215,3.5,24.968365940838215,8.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.35,0.64,0.01,0.35,0.40249999999999997,0.65,0.01,0.32999999999999996,0.37949999999999995,0.67,0.01,0.2899999999999999,0.3334999999999999,0.6900000000000001,0.01,0.24999999999999994,0.2874999999999999,current_strategy
2024-10-12,HIGHNY-24OCT12-B73.5,73-74F,central,CORE,24.448025200947782,YES,0.52,9AM,37.93,0.7644802520094779,True,True,False,73.655,fixed_weights,0.25,0.35,0.2,0.2,74.65,0.3500000000000014,72.25,0.3499999999999943,True,0.48,0.02,0.4599999999999999,74.0,74.0,2024-10,central,24.448025200947782,3.5,20.948025200947782,8.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.47,0.52,0.01,0.47,0.5405,0.53,0.01,0.44999999999999996,0.5175,0.55,0.01,0.4099999999999999,0.47149999999999986,0.5700000000000001,0.01,0.36999999999999994,0.4254999999999999,current_strategy
2024-10-14,HIGHNY-24OCT14-B63.5,63-64F,central,DEEP_TAIL_NO,-22.998681147684305,NO,0.79,9AM,52.0,1.3188523156955502e-05,False,False,False,66.745,fixed_weights,0.25,0.35,0.2,0.2,67.15,0.3500000000000014,66.05,2.4499999999999993,True,0.2099999999999999,0.02,0.1899999999999999,66.0,66.0,2024-10,central,22.998681147684305,3.5,19.498681147684305,4.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.19999999999999996,0.79,0.01,0.19999999999999996,0.22999999999999993,0.8,0.01,0.17999999999999994,0.2069999999999999,0.8200000000000001,0.01,0.13999999999999993,0.16099999999999992,0.8400000000000001,0.01,0.09999999999999991,0.11499999999999988,current_strategy
2024-10-15,HIGHNY-24OCT15-B56.5,56-57F,central,CORE,23.76855627165058,YES,0.43,9AM,46.36,0.6676855627165058,True,True,False,57.27,fixed_weights,0.25,0.35,0.2,0.2,57.8,0.5,56.35,0.25,True,0.5700000000000001,0.02,0.55,57.0,57.0,2024-10,central,23.76855627165058,3.5,20.26855627165058,8.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.56,0.43,0.01,0.56,0.644,0.44,0.01,0.54,0.621,0.45999999999999996,0.01,0.5,0.575,0.48,0.01,0.46,0.529,current_strategy
2024-10-16,HIGHNY-24OCT16-B53.5,53-54F,central,DEEP_TAIL_NO,-7.000000000000001,NO,0.95,9AM,30.0,2.965502500794269e-23,False,False,False,57.88,fixed_weights,0.25,0.35,0.2,0.2,58.8,0.0,56.5,0.6000000000000014,True,0.05,0.01,0.04,59.0,59.0,2024-10,central,7.000000000000001,3.5,3.500000000000001,4.0,1.15,pre_HGEFS,1.05,1.15,0.01,0.04000000000000004,0.95,0.01,0.04000000000000004,0.04600000000000005,0.96,0.01,0.02000000000000003,0.023000000000000034,0.98,0.01,-0.019999999999999983,-0.02299999999999998,0.99,0.01,-0.049999999999999996,-0.05749999999999999,current_strategy
