date,ticker,bracket,sleeve,gap_pp,direction,entry_price,entry_timing,confidence,model_prob,consensus,physics_mean,physics_spread,ai_mean,ai_spread,win,gross,fee,net,actual_temp,settlement_temp,month
2024-10-07,HIGHNY-24OCT07-B74.5,74-75F,TAIL_NO,-50.613454784716616,NO,0.43000000000000005,11AM,80,0.08386545215283381,72.2,75.1,0.8000000000000043,68.05,4.549999999999997,False,-0.43000000000000005,0.02,-0.45000000000000007,75.0,75.0,2024-10
2024-10-07,HIGHNY-24OCT07-T75,>75F,DEEP_TAIL_NO,-9.363600416942322,NO,0.92,11AM,50,0.006363995830576785,72.2,75.1,0.8000000000000043,68.05,4.549999999999997,True,0.07999999999999996,0.01,0.06999999999999997,75.0,75.0,2024-10
2024-10-08,HIGHNY-24OCT08-B70.5,70-71F,CORE,-32.173326029329466,NO,0.5900000000000001,11AM,100,0.08826673970670529,68.24000000000001,68.7,0.0,67.55000000000001,0.6499999999999986,True,0.4099999999999999,0.02,0.3899999999999999,68.0,68.0,2024-10
2024-10-09,HIGHNY-24OCT09-B63.5,63-64F,DEEP_TAIL_NO,-8.99999999999832,NO,0.93,11AM,80,1.6795754900215516e-14,67.515,68.35,0.3500000000000014,66.35,0.3500000000000014,True,0.06999999999999995,0.01,0.05999999999999995,68.0,68.0,2024-10
2024-10-09,HIGHNY-24OCT09-B65.5,65-66F,CORE,-20.25086778792286,NO,0.6799999999999999,11AM,100,0.11749132212077142,67.515,68.35,0.3500000000000014,66.35,0.3500000000000014,True,0.32000000000000006,0.02,0.30000000000000004,68.0,68.0,2024-10
2024-10-09,HIGHNY-24OCT09-B67.5,67-68F,CORE,22.789935786107907,YES,0.52,11AM,100,0.7478993578610791,67.515,68.35,0.3500000000000014,66.35,0.3500000000000014,True,0.48,0.02,0.45999999999999996,68.0,68.0,2024-10
2024-10-11,HIGHNY-24OCT11-B68.5,68-69F,CORE,45.67450358478727,YES,0.31,11AM,100,0.7667450358478727,68.705,69.65,0.05000000000000426,67.30000000000001,0.6000000000000014,True,0.69,0.02,0.6699999999999999,68.0,68.0,2024-10
2024-10-11,HIGHNY-24OCT11-B70.5,70-71F,CORE,-46.2167863259603,NO,0.38,11AM,100,0.15783213674039698,68.705,69.65,0.05000000000000426,67.30000000000001,0.6000000000000014,True,0.62,0.02,0.6,68.0,68.0,2024-10
2024-10-11,HIGHNY-24OCT11-B70.5,70-71F,TAIL_NO,-46.2167863259603,NO,0.4,11AM,100,0.15783213674039698,68.705,69.65,0.05000000000000426,67.30000000000001,0.6000000000000014,True,0.6,0.02,0.58,68.0,68.0,2024-10
2024-10-11,HIGHNY-24OCT11-T71,>71F,DEEP_TAIL_NO,-10.7469798418928,NO,0.9,11AM,80,0.012530201581071987,68.705,69.65,0.05000000000000426,67.30000000000001,0.6000000000000014,True,0.09999999999999998,0.01,0.08999999999999998,68.0,68.0,2024-10
2024-10-12,HIGHNY-24OCT12-B71.5,71-72F,CORE,-18.468365940838215,NO,0.74,11AM,100,0.07531634059161785,73.655,74.65,0.3500000000000014,72.25,0.3499999999999943,True,0.26,0.02,0.24000000000000002,74.0,74.0,2024-10
2024-10-12,HIGHNY-24OCT12-B73.5,73-74F,CORE,22.448025200947786,YES,0.54,11AM,100,0.7644802520094779,73.655,74.65,0.3500000000000014,72.25,0.3499999999999943,True,0.45999999999999996,0.02,0.43999999999999995,74.0,74.0,2024-10
2024-10-13,HIGHNY-24OCT13-T72,>72F,CORE,-60.95458038776954,NO,0.26,11AM,100,0.13045419612230458,71.49000000000001,71.1,1.3000000000000043,71.75,0.3499999999999943,True,0.74,0.02,0.72,69.0,69.0,2024-10
2024-10-13,HIGHNY-24OCT13-T72,>72F,TAIL_NO,-60.95458038776954,NO,0.28,11AM,100,0.13045419612230458,71.49000000000001,71.1,1.3000000000000043,71.75,0.3499999999999943,True,0.72,0.02,0.7,69.0,69.0,2024-10
2024-10-14,HIGHNY-24OCT14-B63.5,63-64F,DEEP_TAIL_NO,-21.998681147684305,NO,0.8,11AM,100,1.3188523156955502e-05,66.745,67.15,0.3500000000000014,66.05,2.4499999999999993,True,0.19999999999999996,0.02,0.17999999999999997,66.0,66.0,2024-10
2024-10-14,HIGHNY-24OCT14-B65.5,65-66F,CORE,-28.16916859044905,NO,0.25,11AM,100,0.4683083140955095,66.745,67.15,0.3500000000000014,66.05,2.4499999999999993,False,-0.25,0.02,-0.27,66.0,66.0,2024-10
2024-10-15,HIGHNY-24OCT15-B56.5,56-57F,CORE,25.768556271650585,YES,0.41,11AM,100,0.6676855627165058,57.269999999999996,57.8,0.5,56.35,0.25,True,0.5900000000000001,0.02,0.5700000000000001,57.0,57.0,2024-10
2024-10-15,HIGHNY-24OCT15-B58.5,58-59F,CORE,-17.70009143324579,NO,0.52,11AM,100,0.3029990856675421,57.269999999999996,57.8,0.5,56.35,0.25,True,0.48,0.02,0.45999999999999996,57.0,57.0,2024-10
2024-10-15,HIGHNY-24OCT15-B58.5,58-59F,TAIL_NO,-17.70009143324579,NO,0.54,11AM,100,0.3029990856675421,57.269999999999996,57.8,0.5,56.35,0.25,True,0.45999999999999996,0.02,0.43999999999999995,57.0,57.0,2024-10
2024-10-17,HIGHNY-24OCT17-B61.5,61-62F,CORE,-22.805551586983206,NO,0.72,11AM,100,0.051944484130167945,58.83,59.4,0.5,58.1,0.10000000000000142,True,0.28,0.02,0.26,58.0,58.0,2024-10
2024-10-17,HIGHNY-24OCT17-T62,>62F,DEEP_TAIL_NO,-7.612999228430499,NO,0.94,11AM,80,0.003870007715695012,58.83,59.4,0.5,58.1,0.10000000000000142,True,0.06000000000000005,0.01,0.05000000000000005,58.0,58.0,2024-10
